Date,Boston_HPI
2016-09-30,13.61
2016-08-31,13.45
2016-07-31,13.26
2016-06-30,13.08
2016-05-31,12.93
2016-04-30,12.76
2016-02-29,12.75
2016-01-31,12.77
2015-12-31,12.76
2015-11-30,12.68
2015-10-31,12.69
2015-09-30,12.68
2015-08-31,12.61
2015-07-31,12.17
2015-06-30,11.83
2015-05-31,12.08
2015-04-30,12.63
2015-03-31,12.64
2015-02-28,12.23
2015-01-31,12.18
2014-12-31,12.32
2014-11-30,12.18
2014-10-31,12.05
2014-09-30,11.89
2014-08-31,11.75
2014-07-31,11.69
2014-06-30,11.88
2014-05-31,12.17
2014-04-30,12.1
2014-03-31,12.33
2014-02-28,12.6
2014-01-31,12.69
2013-12-31,12.72
2013-11-30,12.58
2013-10-31,12.25
2013-09-30,11.83
2013-08-31,11.83
2013-07-31,11.89
2013-06-30,12.16
2013-05-31,12.1
2013-04-30,12.07
2013-03-31,11.65
2013-02-28,11.65
2013-01-31,11.45
2012-12-31,11.54
2012-11-30,11.69
2012-10-31,11.58
2012-09-30,11.45
2012-08-31,11.17
2012-07-31,10.85
2012-06-30,10.91
2012-05-31,10.93
2012-04-30,10.88
2012-03-31,12.21
2012-02-29,12.04
2012-01-31,11.88
2011-12-31,11.73
2011-11-30,11.41
2011-10-31,11.7
2011-09-30,11.63
2011-08-31,11.65
2011-07-31,11.75
2011-06-30,11.93
2011-05-31,11.98
2011-04-30,12.25
2011-03-31,12.27
2011-02-28,12.71
2011-01-31,12.64
2010-12-31,12.67
2010-11-30,12.62
2010-10-31,12.72
